name,phone,review_count,price,food_type,rating,address,town
Atlantic Bagel Company,7189345800,1.0,,Bagels,3 star rating,2 Neptune Ave,Brighton Beach
My Brothers Deli & Bagels,7186053100,1.0,,"Food Delivery Services, Bagels, Delis",3 star rating,960 Bloomingdale Rd,
Avenue P Appetizers,7183397202,1.0,,"Breakfast & Brunch, Bagels, Sandwiches",3 star rating,466 Avenue P,Midwood
Sabianza Deli & Bagels Inc,5168250655,1.0,,Bagels,5 star rating,1627 Dutch Broadway,
Three Guys Bagel,5165487738,1.0,,"Breakfast & Brunch, Bagels, Delis",5 star rating,986 Merrick Rd,
Bklyn Bagel,7183178100,1.0,$$,Bagels,4 star rating,86 Page Ave,
Cando,5166160202,1.0,$$,Bagels,1 star rating,1511 Jericho Tpke,
Krakowskie Precle,,1.0,,Bagels,3 star rating,Ul. Złota 59,Centrum
Afp Bagels,,1.0,,Bagels,5 star rating,566 Lorimer St,Williamsburg - North Side
Ben Bagel,,1.0,,Bagels,4 star rating,ul. Mokotowska 8,Śródmieście
Pizza Express,7182532600,1.0,,"Pizza, Bagels, Wraps",5 star rating,3005 Ave K,Midwood
33 Gourmet Deli,,1.0,,"Delis, Breakfast & Brunch, Bagels",5 star rating,552 8th Ave,Midtown West
Hot Bagels,7184596265,1.0,,Bagels,4 star rating,9508 63rd Dr,Rego Park
Fly-By Bagels - TWA Hotel,2127903625,1.0,,"Bagels, Breakfast & Brunch",5 star rating,1 Idlewild Dr,JFK Airport
Bagel King,7182635858,1.0,$,Bagels,3 star rating,11210 Queens Blvd,Forest Hills
OoohSoGood Comfort Food,9143633722,1.0,,"Delis, Comfort Food, Bagels",1 star rating,35 N MacQuesten Pkwy,
Oakwood Bagels,7186683646,1.0,,Bagels,5 star rating,101 Guyon Ave,Oakwood
Coffee Cart,,1.0,$,"Street Vendors, Coffee & Tea, Bagels",4 star rating,Park Pl & Broadway,Financial District
Daves deli bagel organic,,1.0,,"Delis, Bagels",5 star rating,248 Kingston Ave,Crown Heights
Pick A Bagel Main Office,2123624165,1.0,,Bagels,1 star rating,1991 Broadway,Upper West Side
Coffee Place,,1.0,,"Coffee & Tea, Bakeries, Bagels",2 star rating,591 W 58th St,Hell's Kitchen
Mr. Bagels Cafe,7188363000,1.0,,"Bagels, Delis",5 star rating,9417 3rd Ave,Fort Hamilton
Bagel Nest,7188727545,1.0,,Bagels,4 star rating,1237 Fulton St,Bedford Stuyvesant
Sam Bajgle,,2.0,$$,Bagels,4.5 star rating,ul. Emilii Plater 8,Śródmieście
Chock Full Onuts,,2.0,,Bagels,1 star rating,Jersey Gardens Blvd,
